pH_R,pH_G,pH_B,glucose_R,glucose_G,glucose_B,lactate_R,lactate_G,lactate_B,uric_R,uric_G,uric_B,toxicity
214,40,84,25,229,76,91,163,109,25,229,76,Medium
213,41,84,123,131,126,205,49,89,42,212,85,High
119,135,123,65,189,96,71,183,99,37,217,82,Medium
105,149,117,72,182,100,53,201,90,248,6,67,Medium
69,185,98,78,176,103,244,10,69,193,61,94,High
14,240,71,204,50,89,2,252,65,246,8,68,High
220,34,81,137,117,122,254,0,64,112,142,120,High
207,47,87,79,175,103,172,82,105,70,184,99,High
254,0,64,155,99,113,211,43,85,203,51,89,High
254,0,64,182,72,100,75,179,101,83,171,105,High
141,113,120,69,185,98,3,251,65,76,178,102,Low
196,58,93,105,149,116,188,66,97,59,195,93,High
240,14,71,31,223,79,212,42,85,33,221,80,High
216,38,83,46,208,87,188,66,97,65,189,96,High
63,191,95,173,81,104,36,218,82,90,164,109,High
114,140,121,46,208,87,192,62,95,171,83,105,High
32,222,80,133,121,124,196,58,93,15,239,72,High
243,11,69,180,74,101,167,87,107,53,201,90,High
154,100,114,27,227,77,195,59,93,206,48,88,High
58,196,93,144,110,119,215,39,83,37,217,82,High
171,83,106,65,189,96,156,98,113,87,167,107,High
157,97,112,245,9,68,22,232,75,220,34,81,High
91,163,109,123,131,125,124,130,126,39,215,83,High
28,226,78,205,49,88,19,235,73,21,233,74,High
171,83,106,140,114,121,103,151,116,123,131,126,High
132,122,125,11,243,69,103,151,116,77,177,102,Medium
196,58,93,161,93,110,16,238,72,143,111,119,Medium
132,122,125,242,12,70,88,166,108,204,50,89,High
217,37,82,153,101,114,28,226,78,34,220,81,Medium
140,114,121,208,46,87,206,48,88,148,106,117,High
143,111,120,225,29,78,241,13,70,128,126,127,High
223,31,79,58,196,93,18,236,73,36,218,82,Medium
102,152,115,54,200,91,243,11,69,159,95,112,High
34,220,81,155,99,113,133,121,125,69,185,99,High
7,247,67,104,150,116,76,178,102,124,130,126,High
192,62,95,214,40,84,19,235,73,20,234,74,Medium
158,96,112,229,25,76,127,127,127,117,137,122,High
179,75,101,90,164,109,202,52,90,78,176,103,High
54,200,91,60,194,94,180,74,101,209,45,86,High
34,220,81,199,55,92,12,242,70,14,240,71,Medium
3,251,65,70,184,99,18,236,73,106,148,117,Medium
89,165,108,209,45,86,102,152,115,116,138,122,High
150,104,116,108,146,118,75,179,101,184,70,99,Medium
100,154,114,170,84,106,59,195,93,146,108,118,High
111,143,119,24,230,76,71,183,99,170,84,106,Medium
230,24,76,159,95,112,204,50,89,198,56,92,High
88,166,108,115,139,121,236,18,73,219,35,81,High
131,123,126,149,105,116,103,151,115,80,174,104,High
199,55,91,42,212,85,231,23,76,137,117,123,High
101,153,114,187,67,97,81,173,105,214,40,84,High
158,96,112,220,34,81,121,133,124,252,2,65,High
219,35,81,55,199,91,57,197,92,226,28,78,Medium
242,12,70,24,230,76,163,91,110,94,160,111,High
37,217,82,6,248,67,249,5,66,49,205,88,High
236,18,73,163,91,109,153,101,114,124,130,126,High
125,129,126,154,100,114,91,163,109,189,65,97,High
65,189,97,139,115,122,165,89,109,125,129,127,High
117,137,122,59,195,93,31,223,79,123,131,125,Medium
249,5,66,99,155,114,226,28,78,213,41,84,High
125,129,127,151,103,115,128,126,127,92,162,110,High
83,171,106,126,128,127,114,140,121,219,35,81,High
161,93,110,251,3,65,149,105,117,103,151,116,High
61,193,94,34,220,81,159,95,112,83,171,106,High
19,235,73,177,77,103,18,236,73,115,139,122,High
32,222,80,103,151,115,174,80,104,194,60,94,High
32,222,80,109,145,118,61,193,94,32,222,80,Medium
38,216,83,182,72,100,182,72,100,50,204,89,High
35,219,81,176,78,103,209,45,86,242,12,70,High
163,91,109,252,2,65,205,49,89,44,210,86,High
46,208,87,32,222,80,140,114,121,144,110,119,High
88,166,108,26,228,77,132,122,125,147,107,117,High
228,26,77,184,70,99,36,218,82,124,130,126,High
120,134,124,147,107,117,197,57,92,164,90,109,High
170,84,106,69,185,99,69,185,98,58,196,93,Medium
43,211,86,20,234,74,126,128,127,140,114,121,High
49,205,88,21,233,74,72,182,100,94,160,111,Medium
10,244,69,228,26,77,34,220,81,168,86,107,High
43,211,85,48,206,88,160,94,111,36,218,82,High
71,183,99,82,172,105,13,241,70,145,109,118,Medium
45,209,86,57,197,93,190,64,96,47,207,87,High
22,232,75,90,164,109,80,174,104,71,183,99,High
30,224,79,17,237,72,0,254,64,55,199,91,Low
117,137,122,132,122,125,130,124,126,46,208,87,High
52,202,90,17,237,72,11,243,69,210,44,86,Medium
92,162,110,204,50,89,70,184,99,72,182,100,High
128,126,127,59,195,93,180,74,101,236,18,73,High
176,78,103,137,117,122,15,239,72,247,7,67,Medium
10,244,69,224,30,79,214,40,84,145,109,118,High
203,51,89,165,89,108,0,254,64,36,218,82,Medium
160,94,111,135,119,123,62,192,95,95,159,111,Medium
20,234,74,82,172,105,188,66,97,203,51,89,High
222,32,80,84,170,106,80,174,104,93,161,111,Medium
234,20,74,170,84,106,25,229,77,22,232,75,Medium
15,239,71,253,1,64,91,163,110,141,113,120,High
70,184,99,168,86,107,68,186,98,215,39,83,High
205,49,88,142,112,120,214,40,84,202,52,90,High
190,64,96,186,68,98,79,175,104,44,210,86,High
47,207,87,118,136,123,201,53,91,171,83,105,High
53,201,90,15,239,71,227,27,77,56,198,92,High
94,160,111,143,111,120,110,144,119,55,199,91,High
123,131,126,244,10,69,232,22,75,222,32,80,High
157,97,112,44,210,86,96,158,112,63,191,95,Medium
94,160,111,175,79,103,245,9,68,67,187,97,High
117,137,123,51,203,89,22,232,75,0,254,64,Low
190,64,96,136,118,123,175,79,104,222,32,80,High
9,245,68,24,230,76,125,129,127,202,52,90,High
64,190,96,114,140,121,98,156,113,159,95,111,High
181,73,100,192,62,95,161,93,111,191,63,95,High
228,26,77,88,166,108,179,75,101,38,216,83,High
130,124,126,169,85,106,1,253,64,116,138,122,Medium
135,119,123,202,52,90,42,212,85,89,165,108,Medium
27,227,77,236,18,73,181,73,100,23,231,76,High
114,140,121,59,195,94,169,85,106,123,131,126,High
135,119,123,101,153,115,246,8,68,234,20,74,High
61,193,95,38,216,83,194,60,94,10,244,69,High
68,186,98,253,1,64,242,12,70,74,180,101,High
96,158,112,236,18,73,179,75,102,52,202,90,High
5,249,66,137,117,122,76,178,102,60,194,94,High
82,172,105,214,40,84,26,228,77,231,23,75,High
53,201,91,132,122,125,199,55,91,119,135,123,High
83,171,105,159,95,112,164,90,109,118,136,123,High
30,224,79,22,232,75,12,242,70,193,61,94,Medium
227,27,78,192,62,95,91,163,110,39,215,83,High
151,103,116,32,222,80,243,11,69,124,130,126,High
173,81,105,210,44,86,127,127,127,109,145,119,High
201,53,90,199,55,91,110,144,119,152,102,115,High
127,127,127,180,74,101,116,138,122,254,0,64,High
22,232,75,9,245,68,53,201,90,196,58,93,Medium
136,118,123,77,177,102,94,160,111,101,153,114,Medium
149,105,116,67,187,97,94,160,111,211,43,86,High
190,64,96,91,163,110,13,241,70,43,211,85,Medium
110,144,119,22,232,75,195,59,93,7,247,67,High
32,222,80,238,16,72,106,148,117,52,202,90,High
72,182,100,141,113,121,209,45,86,86,168,107,High
92,162,110,77,177,103,216,38,83,130,124,126,High
164,90,109,101,153,114,54,200,91,156,98,113,Medium
145,109,118,114,140,121,167,87,107,232,22,75,High
90,164,109,153,101,115,120,134,124,130,124,126,High
251,3,65,131,123,125,224,30,79,127,127,127,High
154,100,114,234,20,74,55,199,91,12,242,70,Medium
60,194,94,126,128,127,172,82,105,8,246,68,High
25,229,77,253,1,65,154,100,114,140,114,121,High
38,216,83,217,37,83,75,179,101,111,143,120,High
62,192,95,53,201,90,34,220,81,213,41,84,Medium
40,214,84,237,17,72,166,88,108,40,214,84,High
47,207,87,29,225,78,188,66,97,6,248,67,High
72,182,100,208,46,87,80,174,104,114,140,121,High
44,210,86,97,157,112,164,90,109,60,194,94,High
228,26,77,223,31,79,100,154,114,12,242,70,High
20,234,74,221,33,80,181,73,100,184,70,99,High
133,121,124,205,49,88,50,204,89,28,226,78,Medium
104,150,116,201,53,90,227,27,78,155,99,114,High
250,4,66,77,177,102,73,181,100,71,183,99,Medium
28,226,78,20,234,74,93,161,111,44,210,86,Medium
101,153,114,102,152,115,14,240,71,96,158,112,Medium
247,7,67,44,210,86,28,226,78,204,50,89,Medium
220,34,81,177,77,103,131,123,125,99,155,114,High
208,46,87,88,166,108,68,186,98,191,63,95,High
65,189,97,248,6,67,213,41,85,31,223,80,High
43,211,85,163,91,109,3,251,65,197,57,93,High
170,84,106,209,45,86,96,158,112,60,194,94,High
236,18,73,33,221,80,86,168,107,172,82,105,Medium
141,113,120,219,35,81,4,250,66,144,110,119,Medium
145,109,118,235,19,73,31,223,79,236,18,73,High
71,183,99,124,130,126,105,149,116,98,156,113,High
196,58,93,154,100,114,125,129,127,16,238,72,High
47,207,87,195,59,94,103,151,115,4,250,66,High
82,172,105,44,210,86,135,119,124,210,44,86,High
108,146,118,128,126,127,151,103,115,133,121,124,High
129,125,127,101,153,115,2,252,65,197,57,92,Medium
61,193,95,37,217,82,118,136,123,59,195,94,High
29,225,78,93,161,111,245,9,68,87,167,108,High
155,99,113,17,237,72,132,122,125,7,247,67,Medium
73,181,100,6,248,67,172,82,105,245,9,68,High
148,106,117,34,220,81,79,175,103,170,84,106,Medium
39,215,83,245,9,68,197,57,92,237,17,72,High
122,132,125,140,114,121,197,57,93,67,187,97,High
135,119,123,246,8,68,132,122,125,155,99,113,High
13,241,70,110,144,119,248,6,67,173,81,105,High
85,169,107,79,175,103,32,222,80,80,174,104,Medium
34,220,81,129,125,127,4,250,66,216,38,83,High
16,238,72,112,142,120,196,58,93,241,13,70,High
252,2,65,26,228,77,205,49,88,225,29,78,High
82,172,105,163,91,109,30,224,79,188,66,97,High
206,48,88,55,199,91,67,187,97,70,184,99,Medium
64,190,96,157,97,112,4,250,66,71,183,100,Medium
173,81,104,165,89,108,74,180,101,245,9,68,High
193,61,94,38,216,83,197,57,93,2,252,65,High
151,103,115,15,239,71,132,122,125,182,72,100,High
120,134,124,199,55,92,88,166,108,180,74,101,High
105,149,116,117,137,122,94,160,111,158,96,112,High
88,166,108,14,240,71,0,254,64,252,2,65,Medium
237,17,73,253,1,64,76,178,102,79,175,103,High
211,43,85,14,240,71,164,90,109,86,168,107,High
246,8,68,177,77,103,248,6,67,20,234,74,High
31,223,79,250,4,66,216,38,83,112,142,120,High
186,68,98,60,194,94,6,248,67,66,188,97,Low
239,15,71,36,218,82,229,25,76,87,167,107,High
46,208,87,30,224,79,199,55,91,212,42,85,High
16,238,72,77,177,102,198,56,92,238,16,72,High
188,66,97,25,229,76,116,138,122,47,207,87,Medium
146,108,118,176,78,103,101,153,114,94,160,111,High
214,40,84,15,239,71,77,177,102,236,18,73,Medium
35,219,81,129,125,126,16,238,72,15,239,71,Medium
202,52,90,254,0,64,58,196,93,23,231,75,High
51,203,89,207,47,87,62,192,95,41,213,84,High
41,213,84,156,98,113,123,131,125,151,103,115,High
41,213,85,78,176,103,190,64,96,38,216,83,High
207,47,87,159,95,112,120,134,124,246,8,68,High
169,85,106,134,120,124,14,240,71,113,141,121,Medium
133,121,125,108,146,118,244,10,69,127,127,127,High
91,163,109,33,221,80,240,14,71,62,192,95,High
223,31,79,226,28,78,200,54,91,120,134,124,High
100,154,114,114,140,121,252,2,65,168,86,107,High
208,46,87,49,205,88,138,116,122,191,63,95,High
111,143,120,93,161,111,245,9,68,192,62,95,High
96,158,112,105,149,117,19,235,73,147,107,118,Medium
117,137,123,211,43,86,93,161,110,230,24,76,High
76,178,102,187,67,98,57,197,92,208,46,87,High
190,64,96,196,58,93,49,205,89,193,61,95,High
128,126,127,2,252,65,35,219,82,14,240,71,Low
59,195,93,106,148,117,158,96,112,1,253,64,High
229,25,76,122,132,125,199,55,91,54,200,91,High
97,157,113,4,250,66,147,107,117,169,85,107,High
138,116,122,66,188,97,37,217,82,104,150,116,Medium
231,23,75,193,61,94,206,48,88,102,152,115,High
159,95,112,34,220,81,162,92,110,225,29,78,High
29,225,78,136,118,123,98,156,113,228,26,77,High
239,15,71,54,200,91,171,83,105,231,23,75,High
160,94,111,3,251,65,66,188,97,80,174,104,Medium
85,169,106,61,193,94,88,166,108,176,78,103,High
35,219,81,248,6,67,233,21,74,69,185,98,High
202,52,90,204,50,89,74,180,101,48,206,88,High
158,96,112,244,10,69,119,135,124,47,207,87,High
136,118,123,124,130,126,226,28,78,87,167,107,High
227,27,77,27,227,78,180,74,101,109,145,119,High
201,53,91,139,115,121,15,239,71,211,43,85,Medium
38,216,83,115,139,122,37,217,82,30,224,79,Medium
79,175,103,215,39,83,1,253,65,187,67,97,High
63,191,95,25,229,76,160,94,111,135,119,123,High
189,65,96,124,130,126,114,140,121,73,181,100,High
8,246,68,38,216,83,34,220,81,125,129,127,Medium
145,109,119,82,172,105,244,10,69,76,178,102,High
194,60,94,188,66,97,135,119,124,152,102,115,High
223,31,79,121,133,124,61,193,94,110,144,119,Medium
87,167,107,95,159,112,127,127,127,41,213,85,High
209,45,86,100,154,114,173,81,105,29,225,78,High
28,226,78,117,137,122,19,235,73,139,115,122,Medium
215,39,83,200,54,91,70,184,99,230,24,76,High
32,222,80,227,27,77,205,49,88,87,167,108,High
101,153,114,243,11,69,117,137,122,186,68,98,High
203,51,89,200,54,91,139,115,122,167,87,107,High
38,216,83,80,174,104,110,144,119,237,17,72,High
58,196,93,175,79,103,11,243,69,209,45,86,High
184,70,99,111,143,120,42,212,85,144,110,119,Medium
183,71,99,64,190,96,113,141,121,167,87,107,High
163,91,109,214,40,84,53,201,90,229,25,77,High
176,78,103,9,245,68,12,242,70,101,153,115,Low
138,116,122,229,25,76,215,39,84,83,171,105,High
64,190,96,117,137,123,250,4,66,2,252,65,High
88,166,108,162,92,110,202,52,90,210,44,86,High
46,208,87,168,86,107,217,37,82,204,50,89,High
231,23,75,228,26,77,61,193,94,26,228,77,High
148,106,117,162,92,110,244,10,69,147,107,118,High
102,152,115,156,98,113,50,204,89,118,136,123,High
117,137,123,16,238,72,242,12,70,30,224,79,High
241,13,70,132,122,125,253,1,64,250,4,66,High
39,215,83,38,216,83,181,73,100,54,200,91,High
149,105,116,188,66,97,250,4,66,17,237,72,High
129,125,127,130,124,126,145,109,119,151,103,115,High
155,99,113,173,81,104,66,188,97,188,66,97,High
4,250,66,10,244,69,111,143,119,8,246,68,Medium
222,32,80,21,233,74,151,103,116,167,87,107,High
237,17,72,182,72,100,18,236,73,135,119,123,High
144,110,119,18,236,73,158,96,112,26,228,77,Medium
177,77,102,18,236,73,250,4,66,43,211,86,High
235,19,73,3,251,65,48,206,88,144,110,119,Medium
180,74,101,243,11,69,202,52,90,75,179,101,High
38,216,83,188,66,97,231,23,75,239,15,71,High
146,108,118,90,164,109,240,14,71,208,46,87,High
154,100,114,75,179,101,244,10,69,250,4,66,High
108,146,118,89,165,108,132,122,125,66,188,97,High
187,67,97,197,57,92,249,5,66,247,7,67,High
238,16,72,168,86,107,193,61,95,109,145,119,High
236,18,73,47,207,87,41,213,84,88,166,108,Medium
114,140,121,44,210,86,121,133,125,12,242,70,Medium
28,226,78,25,229,76,183,71,100,13,241,70,High
251,3,65,168,86,107,63,191,95,176,78,103,High
213,41,84,194,60,94,163,91,110,116,138,122,High
31,223,79,67,187,97,169,85,106,57,197,92,High
234,20,74,5,249,66,41,213,84,156,98,113,Medium
221,33,80,20,234,74,144,110,119,64,190,96,High
132,122,125,246,8,68,196,58,93,147,107,118,High
150,104,116,75,179,101,127,127,127,91,163,109,High
101,153,115,196,58,93,3,251,65,210,44,86,High
13,241,71,159,95,112,2,252,65,209,45,86,High
85,169,106,97,157,112,91,163,109,121,133,125,High
204,50,89,52,202,90,236,18,73,89,165,108,High
1,253,64,30,224,79,58,196,93,92,162,110,Medium
85,169,106,156,98,113,161,93,110,205,49,88,High
101,153,114,197,57,92,56,198,92,83,171,106,High
137,117,123,164,90,109,82,172,105,53,201,90,High
234,20,74,135,119,124,216,38,83,21,233,74,High
88,166,108,10,244,69,185,69,98,119,135,123,High
88,166,108,246,8,68,24,230,76,122,132,125,High
188,66,97,203,51,89,109,145,118,214,40,84,High
115,139,121,74,180,101,7,247,67,56,198,92,Low
57,197,92,249,5,66,122,132,125,97,157,112,High
115,139,121,153,101,114,168,86,107,206,48,88,High
35,219,82,148,106,117,30,224,79,210,44,86,High
44,210,86,190,64,96,73,181,100,98,156,113,High
127,127,127,207,47,88,101,153,114,117,137,122,High
106,148,117,167,87,107,234,20,74,77,177,102,High
233,21,74,32,222,80,253,1,64,237,17,72,High
92,162,110,86,168,107,11,243,69,30,224,79,Medium
148,106,117,236,18,73,194,60,94,238,16,72,High
161,93,111,57,197,92,94,160,111,174,80,104,Medium
3,251,65,94,160,111,100,154,114,135,119,123,High
169,85,107,110,144,119,192,62,95,8,246,68,High
45,209,86,112,142,120,234,20,74,121,133,124,High
245,9,68,156,98,113,242,12,70,103,151,116,High
37,217,83,240,14,71,147,107,118,41,213,84,High
105,149,117,61,193,94,91,163,109,167,87,107,High
21,233,74,30,224,79,200,54,91,247,7,67,High
254,0,64,50,204,89,64,190,96,143,111,120,Medium
128,126,127,226,28,78,143,111,119,182,72,100,High
151,103,115,164,90,109,91,163,109,17,237,72,Medium
17,237,72,72,182,100,167,87,107,106,148,117,High
191,63,96,208,46,87,61,193,94,29,225,78,High
53,201,90,219,35,81,48,206,88,156,98,113,High
229,25,77,215,39,83,234,20,74,239,15,71,High
52,202,90,234,20,74,25,229,77,168,86,107,High
48,206,88,64,190,96,129,125,127,19,235,73,High
9,245,68,192,62,95,56,198,92,90,164,109,High
120,134,124,117,137,122,9,245,68,140,114,121,Medium
144,110,119,214,40,84,9,245,68,102,152,115,Medium
16,238,72,185,69,98,44,210,86,212,42,85,High
197,57,92,197,57,92,221,33,81,207,47,87,High
115,139,122,167,87,108,72,182,100,156,98,113,High
133,121,124,45,209,86,242,12,70,95,159,111,High
112,142,120,138,116,122,148,106,117,65,189,96,High
102,152,115,251,3,65,111,143,119,26,228,77,High
142,112,120,239,15,72,147,107,117,90,164,109,High
39,215,83,11,243,69,131,123,125,105,149,116,High
46,208,87,42,212,85,193,61,94,172,82,105,High
219,35,81,33,221,80,72,182,100,167,87,107,Medium
241,13,70,185,69,99,90,164,109,17,237,72,High
95,159,111,208,46,87,227,27,77,100,154,114,High
69,185,98,54,200,91,241,13,70,46,208,87,High
164,90,109,128,126,127,227,27,77,39,215,84,High
104,150,116,214,40,84,106,148,117,210,44,86,High
6,248,67,186,68,98,198,56,92,10,244,69,High
39,215,83,138,116,122,121,133,124,106,148,117,High
182,72,100,150,104,116,126,128,127,42,212,85,High
168,86,107,129,125,126,52,202,90,224,30,79,High
6,248,67,75,179,102,150,104,116,142,112,120,High
56,198,92,144,110,119,47,207,87,59,195,93,Medium
58,196,93,175,79,103,84,170,106,128,126,127,High
171,83,105,222,32,80,218,36,82,186,68,98,High
5,249,66,162,92,110,52,202,90,244,10,69,High
26,228,77,194,60,94,18,236,73,56,198,92,High
203,51,89,40,214,84,17,237,72,225,29,78,Medium
45,209,86,117,137,123,239,15,71,238,16,72,High
166,88,108,2,252,65,129,125,127,233,21,74,High
60,194,94,62,192,95,104,150,116,162,92,110,High
25,229,76,185,69,99,206,48,88,160,94,111,High
62,192,95,252,2,65,213,41,85,102,152,115,High
184,70,99,25,229,76,84,170,106,191,63,95,Medium
218,36,82,102,152,115,176,78,103,135,119,123,High
211,43,85,204,50,89,196,58,93,172,82,105,High
101,153,114,52,202,90,166,88,108,109,145,118,High
170,84,106,141,113,120,38,216,83,186,68,98,Medium
52,202,90,186,68,98,223,31,79,210,44,86,High
74,180,101,157,97,113,137,117,122,37,217,82,High
228,26,77,47,207,88,72,182,100,212,42,85,High
3,251,65,90,164,109,108,146,118,137,117,122,High
21,233,74,199,55,91,9,245,68,215,39,83,High
53,201,90,141,113,121,32,222,80,109,145,119,Medium
6,248,67,1,253,64,195,59,94,96,158,112,High
46,208,87,194,60,94,0,254,64,233,21,74,High
148,106,117,9,245,68,106,148,117,64,190,96,Medium
107,147,117,190,64,96,133,121,125,215,39,83,High
227,27,77,51,203,89,13,241,70,123,131,125,Medium
208,46,87,244,10,69,248,6,67,131,123,126,High
87,167,107,93,161,111,57,197,92,78,176,103,Medium
66,188,97,83,171,105,77,177,102,146,108,118,High
96,158,112,37,217,83,77,177,102,82,172,105,Medium
150,104,116,77,177,103,58,196,93,10,244,69,Medium
68,186,98,223,31,79,0,254,64,69,185,98,Medium
159,95,112,254,0,64,185,69,98,1,253,64,High
104,150,116,93,161,111,246,8,68,249,5,66,High
140,114,121,114,140,121,57,197,92,246,8,68,High
111,143,119,184,70,99,169,85,107,100,154,114,High
75,179,101,225,29,78,189,65,97,185,69,98,High
241,13,70,151,103,116,216,38,83,88,166,108,High
194,60,94,99,155,114,107,147,118,171,83,106,High
35,219,81,105,149,116,77,177,102,205,49,88,High
221,33,80,177,77,102,82,172,105,241,13,70,High
124,130,126,0,254,64,181,73,100,102,152,115,High
228,26,77,157,97,112,208,46,87,199,55,91,High
203,51,89,90,164,109,46,208,87,67,187,98,Medium
108,146,118,202,52,90,94,160,111,252,2,65,High
5,249,66,23,231,75,229,25,76,6,248,67,High
68,186,98,149,105,116,205,49,88,153,101,114,High
138,116,122,122,132,125,251,3,65,168,86,107,High
161,93,110,163,91,109,192,62,95,175,79,103,High
65,189,97,16,238,72,100,154,114,30,224,79,Medium
35,219,81,147,107,117,150,104,116,239,15,71,High
212,42,85,143,111,120,168,86,107,46,208,87,High
251,3,65,142,112,120,20,234,74,158,96,112,Medium
134,120,124,153,101,114,138,116,122,56,198,92,High
43,211,85,172,82,105,180,74,101,78,176,103,High
69,185,98,205,49,88,42,212,85,139,115,122,High
4,250,66,68,186,98,199,55,92,106,148,117,High
233,21,74,210,44,86,148,106,117,40,214,84,High
30,224,79,127,127,127,242,12,70,43,211,85,High
147,107,118,19,235,73,10,244,69,106,148,117,Low
69,185,99,14,240,71,67,187,97,193,61,95,Medium
141,113,121,85,169,106,153,101,115,228,26,77,High
166,88,108,200,54,91,75,179,101,21,233,74,High
211,43,85,180,74,101,182,72,100,100,154,114,High
52,202,90,201,53,91,193,61,94,25,229,76,High
2,252,65,131,123,125,26,228,77,4,250,66,Medium
34,220,81,112,142,120,131,123,126,168,86,107,High
229,25,76,37,217,82,129,125,126,153,101,114,High
222,32,80,83,171,106,94,160,111,41,213,84,Medium
152,102,115,110,144,119,237,17,72,59,195,93,High
153,101,115,22,232,75,211,43,86,6,248,67,High
169,85,106,56,198,92,177,77,102,212,42,85,High
44,210,86,152,102,115,182,72,100,248,6,67,High
233,21,74,187,67,97,117,137,123,34,220,81,High
106,148,117,254,0,64,234,20,74,59,195,93,High
97,157,113,237,17,72,177,77,103,221,33,80,High
132,122,125,163,91,109,185,69,98,236,18,73,High
11,243,70,107,147,117,219,35,81,107,147,117,High
42,212,85,162,92,110,69,185,99,12,242,70,High
188,66,97,200,54,91,205,49,88,10,244,69,High
21,233,74,30,224,79,49,205,88,146,108,118,Medium
153,101,114,104,150,116,88,166,108,100,154,114,Medium
62,192,95,214,40,84,85,169,106,7,247,67,High
99,155,113,97,157,113,249,5,66,148,106,117,High
73,181,100,145,109,118,218,36,82,2,252,65,High
90,164,109,149,105,116,178,76,102,200,54,91,High
183,71,99,47,207,87,185,69,98,78,176,103,High
75,179,102,92,162,110,143,111,120,10,244,69,High
144,110,119,85,169,106,241,13,70,150,104,116,High
121,133,124,6,248,67,126,128,127,101,153,114,Medium
169,85,107,6,248,67,97,157,112,248,6,67,Medium
238,16,72,212,42,85,41,213,84,138,116,122,High
186,68,98,69,185,98,200,54,91,70,184,99,High
54,200,91,132,122,125,187,67,97,180,74,101,High
7,247,67,76,178,102,98,156,113,69,185,98,High
66,188,97,239,15,71,6,248,67,230,24,76,High
151,103,115,66,188,97,213,41,84,95,159,111,High
13,241,70,109,145,118,2,252,65,140,114,121,Medium
126,128,127,222,32,80,179,75,101,12,242,70,High
152,102,115,214,40,84,247,7,67,108,146,118,High
85,169,106,47,207,87,111,143,120,212,42,85,High
196,58,93,204,50,89,59,195,94,205,49,88,High
27,227,77,116,138,122,179,75,101,57,197,92,High
19,235,73,123,131,125,208,46,87,57,197,92,High
185,69,98,34,220,81,139,115,122,208,46,87,High
126,128,127,20,234,74,246,8,68,237,17,72,High
175,79,103,185,69,98,13,241,70,24,230,76,Medium
110,144,119,126,128,127,128,126,127,114,140,121,High
62,192,95,111,143,119,183,71,100,86,168,107,High
208,46,87,186,68,98,219,35,81,222,32,80,High
203,51,89,195,59,94,45,209,86,21,233,74,Medium
177,77,103,40,214,84,204,50,89,53,201,91,High
69,185,98,155,99,113,140,114,121,191,63,95,High
150,104,116,34,220,81,101,153,114,13,241,70,Medium
92,162,110,191,63,95,33,221,80,125,129,127,High
23,231,75,167,87,107,220,34,81,112,142,120,High
233,21,74,243,11,69,40,214,84,85,169,106,High
34,220,81,17,237,72,78,176,103,100,154,114,Medium
242,12,70,14,240,71,73,181,101,135,119,124,Medium
113,141,121,71,183,100,222,32,80,41,213,84,High
